id,timestamp,release_name,release_id,is_prerelease,asset_name,os_name,architecture,java_type,total_downloads
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_aix-ppc64_bin.tar.gz,,,jdk,29
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-aarch64_bin-symbols.tar.gz,linux,aarch64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-aarch64_bin.tar.gz,linux,aarch64,jdk,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-ppc64le_bin-symbols.tar.gz,linux,ppc64le,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-ppc64le_bin.tar.gz,linux,ppc64le,jdk,44
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-x64-musl_bin-symbols.tar.gz,linux,x64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-x64-musl_bin.tar.gz,linux,x64,jdk,44
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-x64_bin-symbols.tar.gz,linux,x64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_linux-x64_bin.tar.gz,linux,x64,jdk,44
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-aarch64_bin-symbols.tar.gz,macos,aarch64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-aarch64_bin.dmg,macos,aarch64,jdk,45
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-aarch64_bin.tar.gz,macos,aarch64,jdk,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-x64_bin-symbols.tar.gz,macos,x64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-x64_bin.dmg,macos,x64,jdk,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_macos-x64_bin.tar.gz,macos,x64,jdk,45
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_windows-x64_bin-symbols.tar.gz,windows,x64,jdk,0
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jdk-23-ea.36_windows-x64_bin.zip,windows,x64,jdk,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jre-23-ea.36_aix-ppc64_bin.tar.gz,,,jre,30
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jre-23-ea.36_linux-aarch64_bin.tar.gz,linux,aarch64,jre,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jre-23-ea.36_linux-ppc64le_bin.tar.gz,linux,ppc64le,jre,42
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jre-23-ea.36_linux-x64-musl_bin.tar.gz,linux,x64,jre,44
0f04cedd-f84d-4cc6-9de5-69555c08dc3f,2024-08-19 15:04:48,sapmachine-23+36,169601204,True,sapmachine-jre-23-ea.36_linux-x64_bin.tar.gz,linux,x64,jre,44
